cliente_id,nombre_comercial,canal,region,distrito,fecha_alta,estado
C00001,Bodega Ramos 115,Bodega,Callao,Cercado,2018-04-13,ACTIVO
C00002,Restaurante Ramos 759,Restaurante/Bar,Lima Sur,Comas,2024-02-12,ACTIVO
C00003,Minimarket García 239,Minimarket,Lima Norte,Los Olivos,2023-09-01,ACTIVO
C00004,Bodega Castillo 430,Bodega,Piura,Villa El Salvador,2020-06-21,INACTIVO
C00005,Bodega Díaz 826,Bodega,Trujillo,Cercado,2019-10-16,ACTIVO
C00006,Bodega Díaz 345,Bodega,Lima Sur,Cayma,2019-02-23,ACTIVO
C00007,Bodega Vargas 271,Bodega,Piura,La Esperanza,2018-06-27,ACTIVO
C00008,Restaurante Castillo 301,Restaurante/Bar,Arequipa,Los Olivos,2025-01-18,ACTIVO
C00009,Bodega Ramos 234,Bodega,Lima Sur,Paucarpata,2021-03-31,ACTIVO
C00010,Minimarket Rojas 465,Minimarket,Arequipa,Cayma,2025-02-16,ACTIVO
C00011,Bodega Rojas 719,Bodega,Lima Sur,Cercado,2025-08-31,ACTIVO
C00012,Restaurante García 168,Restaurante/Bar,Trujillo,La Esperanza,2023-03-09,ACTIVO
C00013,Mayorista Castillo 225,Mayorista,Arequipa,Villa El Salvador,2025-09-05,ACTIVO
C00014,Bodega Paredes 33,Bodega,Trujillo,Ate,2021-07-16,INACTIVO
C00015,Bodega Vargas 898,Bodega,Arequipa,Castilla,2026-01-19,ACTIVO
C00016,Bodega Ramos 470,Bodega,Callao,Los Olivos,2019-08-09,ACTIVO
C00017,Bodega Rojas 765,Bodega,Trujillo,El Porvenir,2024-07-22,ACTIVO
C00018,Bodega Huamán 522,Bodega,Lima Sur,Paucarpata,2023-07-15,ACTIVO
C00019,Bodega Ramos 164,Bodega,Trujillo,El Porvenir,2025-08-19,ACTIVO
C00020,Bodega Sánchez 542,Bodega,Cusco,Comas,2020-10-26,ACTIVO
C00021,Bodega Flores 699,Bodega,Callao,Cayma,2024-01-09,ACTIVO
C00022,Bodega Mamani 162,Bodega,Lima Norte ,Wanchaq,2023-02-02,ACTIVO
C00023,Bodega Castillo 935,Bodega,Callao,Wanchaq,2019-03-12,ACTIVO
C00024,Bodega Huamán 383,Bodega,CUSCO,Miraflores,2019-10-24,ACTIVO
C00025,Bodega Quispe 115,Bodega,Callao,Ate,2022-01-26,INACTIVO
C00026,Mayorista Flores 88,Mayorista,Piura,Villa El Salvador,2026-03-17,ACTIVO
C00027,Bodega Huamán 132,Bodega,piura,Ventanilla,2025-05-26,ACTIVO
C00028,Bodega Vargas 434,Bodega,Cusco,Los Olivos,2020-05-17,ACTIVO
C00029,Bodega Rojas 409,Bodega,Arequipa,Wanchaq,2025-07-14,ACTIVO
C00030,Bodega García 231,Bodega,Arequipa,Wanchaq,,ACTIVO
C00031,Bodega García 8,Bodega,Lima Norte,La Esperanza,2018-10-18,ACTIVO
C00032,Bodega Torres 73,Bodega,Lima Este,Castilla,2023-10-07,ACTIVO
C00033,Bodega Huamán 741,Bodega,Piura,Castilla,2024-05-27,ACTIVO
C00034,Restaurante García 97,Restaurante/Bar,Trujillo,El Porvenir,2019-02-02,ACTIVO
C00035,Restaurante Chávez 56,Restaurante/Bar,Lima Sur,Los Olivos,2025-07-21,ACTIVO
C00036,Mayorista Paredes 112,Mayorista,Lima Este,Castilla,2020-10-15,ACTIVO
C00037,Bodega Huamán 286,Bodega,Lima Este,San Juan,2023-03-10,ACTIVO
C00038,Bodega Paredes 877,Bodega,Lima Sur,Wanchaq,2024-03-04,ACTIVO
C00039,Minimarket Flores 949,Minimarket,Lima Centro,Castilla,2020-08-26,ACTIVO
C00040,Bodega Mamani 925,Bodega,Lima Centro,El Porvenir,2018-08-29,ACTIVO
C00041,Bodega Díaz 804,Bodega,Callao,Los Olivos,2023-02-07,INACTIVO
C00042,Bodega Castillo 678,Bodega,Piura,Ventanilla,2026-01-21,ACTIVO
C00043,Bodega Quispe 594,Bodega,Lima Norte,Comas,2024-01-30,ACTIVO
C00044,Restaurante Sánchez 515,Restaurante/Bar,Lima Centro,Wanchaq,2023-12-16,ACTIVO
C00045,Bodega Huamán 71,Bodega,Lima Sur,Ate,2024-09-03,ACTIVO
C00046,Minimarket Vargas 253,Minimarket,Lima Norte,El Porvenir,2024-06-29,ACTIVO
C00047,Bodega Vargas 536,Bodega,Callao,Los Olivos,2021-07-19,ACTIVO
C00048,Bodega Rojas 406,Bodega,Callao,La Esperanza,2019-06-21,ACTIVO
C00049,Bodega Flores 10,Bodega,Lima Sur,Ate,2023-02-21,ACTIVO
C00050,Bodega Huamán 956,Bodega,Lima Sur,Cayma,2021-11-30,ACTIVO
C00051,Restaurante Sánchez 854,Restaurante/Bar,Callao,Villa El Salvador,2024-02-04,ACTIVO
C00052,Mayorista Quispe 684,Mayorista,Callao,San Juan,2024-03-21,INACTIVO
C00053,Restaurante Huamán 271,Restaurante/Bar,Lima Sur,Cercado,2019-04-18,ACTIVO
C00054,Restaurante Vargas 216,Restaurante/Bar,Arequipa,Surco,2026-01-18,INACTIVO
C00055,Bodega Castillo 501,Bodega,Lima Norte,El Porvenir,2020-10-25,ACTIVO
C00056,Restaurante Quispe 4,Restaurante/Bar,Lima Centro,Ventanilla,2021-09-28,ACTIVO
C00057,Bodega Sánchez 565,Bodega,Trujillo,San Juan,2025-11-30,ACTIVO
C00058,Bodega Chávez 926,Bodega,Cusco,Cayma,2019-09-03,ACTIVO
C00059,Bodega Huamán 441,Bodega,Lima Norte,La Esperanza,2019-06-07,INACTIVO
C00060,Bodega Paredes 41,Bodega,Lima Este,Surco,2022-01-05,ACTIVO
C00061,Bodega Díaz 574,Bodega,Lima Centro,Ate,2022-07-23,INACTIVO
C00062,Bodega Díaz 831,Bodega,Trujillo,Los Olivos,2019-12-27,INACTIVO
C00063,Mayorista Díaz 954,Mayorista,Lima Este,Villa El Salvador,2022-08-14,ACTIVO
C00064,Bodega Mamani 894,Bodega,Piura,Paucarpata,2018-06-08,INACTIVO
C00065,Bodega Torres 313,Bodega,Lima Este,Ate,2020-07-21,ACTIVO
C00066,Bodega Rojas 886,Bodega,Callao,Wanchaq,2018-10-12,ACTIVO
C00067,Bodega Paredes 550,Bodega,Lima Norte,Ventanilla,2021-09-18,ACTIVO
C00068,Mayorista Rojas 40,Mayorista,Trujillo,Villa El Salvador,2019-03-21,ACTIVO
C00069,Bodega Vargas 524,Bodega,Trujillo,Ate,2019-04-19,ACTIVO
C00070,Restaurante Chávez 447,Restaurante/Bar,Cusco,Wanchaq,2018-01-07,ACTIVO
C00071,Mayorista Chávez 755,Mayorista,Lima Este,San Juan,2025-07-09,INACTIVO
C00072,Bodega Torres 639,Bodega,Lima Sur,Ventanilla,2021-07-09,ACTIVO
C00073,Bodega Ramos 419,Bodega,Trujillo,Wanchaq,2021-08-29,ACTIVO
C00074,Mayorista Mamani 681,Mayorista,Lima Centro,Ventanilla,2022-04-02,ACTIVO
C00075,Minimarket Paredes 1,Minimarket,Callao,Villa El Salvador,2021-05-29,ACTIVO
C00076,Minimarket Ramos 330,Minimarket,Piura,Ate,2023-03-20,ACTIVO
C00077,Mayorista Díaz 923,Mayorista,Lima Sur,Surco,2019-11-27,ACTIVO
C00078,Bodega Torres 96,Bodega,Callao,Ate,2020-08-20,ACTIVO
C00079,Bodega Quispe 251,Bodega,Lima Sur,La Esperanza,2023-05-01,ACTIVO
C00080,Bodega García 736,Bodega,Trujillo,Ate,2025-10-23,ACTIVO
C00081,Restaurante Chávez 6,Restaurante/Bar,Trujillo,Villa El Salvador,2019-03-13,INACTIVO
C00082,Minimarket Castillo 476,Minimarket,Cusco,Paucarpata,2018-07-25,ACTIVO
C00083,Bodega Huamán 821,Bodega,Cusco ,Villa El Salvador,2023-03-19,INACTIVO
C00084,Bodega Vargas 835,Bodega,Cusco,La Esperanza,2026-01-25,ACTIVO
C00085,Bodega Huamán 762,Bodega,Piura,Ate,2023-04-29,ACTIVO
C00086,Bodega Rojas 785,Bodega,Piura,Ventanilla,2023-11-06,ACTIVO
C00087,Minimarket Chávez 293,Minimarket,Callao,La Esperanza,2020-08-18,ACTIVO
C00088,Minimarket Huamán 155,Minimarket,Trujillo,Los Olivos,2020-08-05,ACTIVO
C00089,Restaurante Mamani 418,Restaurante/Bar,Cusco,Comas,2021-09-17,ACTIVO
C00090,Bodega Mamani 399,Bodega,Lima Norte,Villa El Salvador,2024-07-20,ACTIVO
C00091,Bodega Sánchez 7,Bodega,Callao,Paucarpata,2021-12-11,INACTIVO
C00092,Minimarket Paredes 430,Minimarket,Cusco,La Esperanza,2024-01-14,ACTIVO
C00093,Mayorista García 280,Mayorista,Piura,Cayma,2022-11-21,ACTIVO
C00094,Bodega Díaz 415,Bodega,Lima Centro,La Esperanza,2026-02-14,ACTIVO
C00095,Mayorista Vargas 547,Mayorista,Trujillo,Surco,2018-04-21,ACTIVO
C00096,Bodega Ramos 439,Bodega,Piura,Ventanilla,2019-07-10,ACTIVO
C00097,Bodega García 466,Bodega,Arequipa,El Porvenir,2021-08-31,ACTIVO
C00098,Bodega Paredes 432,Bodega,Lima Sur,Los Olivos,2020-10-30,ACTIVO
C00099,Bodega Torres 230,Bodega,Lima Sur,Surco,2025-04-16,ACTIVO
C00100,Bodega Quispe 973,Bodega,Lima Este,Miraflores,2020-10-09,ACTIVO
C00101,Bodega Huamán 485,Bodega,Lima Sur,Ate,2025-07-05,ACTIVO
C00102,Minimarket Rojas 786,Minimarket,Lima Centro,Los Olivos,2022-02-19,ACTIVO
C00103,Bodega Díaz 839,Bodega,Callao,Comas,2019-11-02,INACTIVO
C00104,Bodega Vargas 694,Bodega,trujillo,San Juan,2022-03-18,ACTIVO
C00105,Restaurante Paredes 643,Restaurante/Bar,Lima Sur,Ventanilla,2020-09-21,INACTIVO
C00106,Bodega Vargas 825,Bodega,Lima Norte,El Porvenir,2019-05-11,ACTIVO
C00107,Bodega Flores 519,Bodega,Arequipa,El Porvenir,2025-04-06,ACTIVO
C00108,Mayorista Flores 444,Mayorista,Piura,El Porvenir,2022-01-23,ACTIVO
C00109,Bodega Castillo 989,Bodega,Callao,La Esperanza,2025-04-18,ACTIVO
C00110,Bodega Sánchez 477,Bodega,Callao,Ate,2022-11-20,ACTIVO
C00111,Bodega Flores 286,Bodega,Lima Este,Miraflores,2023-01-21,ACTIVO
C00112,Bodega Mamani 345,Bodega,Piura,Cercado,2018-04-28,ACTIVO
C00113,Restaurante Torres 817,Restaurante/Bar,Arequipa,Miraflores,2020-11-24,ACTIVO
C00114,Mayorista Rojas 570,Mayorista,CUSCO,Ate,2018-02-11,ACTIVO
C00115,Minimarket Sánchez 569,Minimarket,Piura,Castilla,2020-09-11,ACTIVO
C00116,Restaurante Quispe 96,Restaurante/Bar,Lima Este,Ate,2021-04-20,ACTIVO
C00117,Mayorista Vargas 378,Mayorista,Cusco,El Porvenir,2023-04-23,INACTIVO
C00118,Bodega Castillo 339,Bodega,Piura,Ventanilla,2021-12-12,ACTIVO
C00119,Restaurante Chávez 198,Restaurante/Bar,Lima Sur,Villa El Salvador,2021-07-16,ACTIVO
C00120,Bodega García 222,Bodega,Callao,Villa El Salvador,2023-06-07,ACTIVO
C00121,Mayorista Rojas 103,Mayorista,Callao,Cercado,2020-03-06,ACTIVO
C00122,Restaurante Chávez 547,Restaurante/Bar,Callao,Comas,2019-06-03,ACTIVO
C00123,Bodega Chávez 967,Bodega,Piura,Comas,2019-06-02,ACTIVO
C00124,Bodega Sánchez 491,Bodega,Arequipa,Comas,2022-12-10,ACTIVO
C00125,Bodega Paredes 490,Bodega,Lima Sur,San Juan,2019-04-13,ACTIVO
C00126,Bodega Ramos 55,Bodega,Lima Centro,Ventanilla,2019-09-14,ACTIVO
C00127,Mayorista García 122,Mayorista,Trujillo,Villa El Salvador,2024-04-04,ACTIVO
C00128,Restaurante Díaz 536,Restaurante/Bar,Piura,Ventanilla,2022-04-08,INACTIVO
C00129,Bodega Mamani 313,Bodega,Lima Norte,Los Olivos,2024-05-18,ACTIVO
C00130,Bodega Díaz 213,Bodega,Lima Este,San Juan,,ACTIVO
C00131,Bodega Huamán 566,Bodega,Lima Centro,Castilla,2018-11-04,ACTIVO
C00132,Bodega Sánchez 299,Bodega,Lima Este,Ventanilla,2018-05-14,ACTIVO
C00133,Bodega Sánchez 73,Bodega,Lima Este,Villa El Salvador,2025-09-16,ACTIVO
C00134,Bodega Vargas 678,Bodega,Trujillo,Ate,2020-03-21,ACTIVO
C00135,Restaurante Rojas 847,Restaurante/Bar,Lima Sur,Villa El Salvador,,ACTIVO
C00136,Bodega Chávez 845,Bodega,Callao,Castilla,2024-05-20,ACTIVO
C00137,Bodega Chávez 413,Bodega,Cusco,Castilla,2021-01-20,ACTIVO
C00138,Minimarket Quispe 911,Minimarket,Arequipa,Comas,2022-11-05,ACTIVO
C00139,Bodega Ramos 857,Bodega,Lima Norte ,Miraflores,2024-06-14,ACTIVO
C00140,Restaurante Díaz 180,Restaurante/Bar,Cusco,La Esperanza,2023-04-12,ACTIVO
C00141,Restaurante Vargas 447,Restaurante/Bar,PIURA,Cayma,2025-02-13,ACTIVO
C00142,Bodega Torres 687,Bodega,Lima Centro,Los Olivos,2019-03-05,ACTIVO
C00143,Bodega Ramos 968,Bodega,Cusco,San Juan,2022-06-29,ACTIVO
C00144,Bodega Torres 119,Bodega,Cusco,Comas,2022-07-14,ACTIVO
C00145,Bodega Castillo 474,Bodega,Lima Norte,Cayma,2022-08-20,ACTIVO
C00146,Bodega Sánchez 641,Bodega,Lima Norte,Wanchaq,2022-12-16,ACTIVO
C00147,Bodega Rojas 449,Bodega,Piura,Surco,2025-10-31,ACTIVO
C00148,Bodega García 727,Bodega,Callao,Wanchaq,2019-10-11,ACTIVO
C00149,Bodega García 862,Bodega,piura,Castilla,2019-04-10,INACTIVO
C00150,Bodega Rojas 522,Bodega,Callao,Castilla,2025-11-29,INACTIVO
C00151,Restaurante García 468,Restaurante/Bar,Lima Centro,La Esperanza,2024-03-07,ACTIVO
C00152,Bodega Chávez 901,Bodega,Lima Sur,Villa El Salvador,2019-07-14,INACTIVO
C00153,Bodega Torres 957,Bodega,Callao,Ventanilla,2023-09-11,ACTIVO
C00154,Bodega Paredes 602,Bodega,Piura,Castilla,2024-07-03,ACTIVO
C00155,Restaurante Torres 341,Restaurante/Bar,Cusco,La Esperanza,2024-03-10,ACTIVO
C00156,Bodega García 715,Bodega,Trujillo,Villa El Salvador,2020-09-05,ACTIVO
C00157,Minimarket Torres 763,Minimarket,Trujillo,Surco,2023-04-22,ACTIVO
C00158,Mayorista Ramos 156,Mayorista,Lima Norte,Miraflores,2023-07-22,ACTIVO
C00159,Bodega Flores 896,Bodega,Lima Sur,Castilla,2022-12-09,ACTIVO
C00160,Minimarket Huamán 420,Minimarket,Lima Centro,Villa El Salvador,2025-05-05,INACTIVO
C00161,Bodega Torres 639,Bodega,Trujillo,Paucarpata,2025-10-08,ACTIVO
C00162,Minimarket Ramos 880,Minimarket,TRUJILLO,Paucarpata,2023-12-26,ACTIVO
C00163,Minimarket Vargas 71,Minimarket,CALLAO,El Porvenir,2020-08-19,INACTIVO
C00164,Bodega Díaz 649,Bodega,Lima Sur,Los Olivos,2025-11-23,ACTIVO
C00165,Bodega Quispe 48,Bodega,Lima Norte,Cayma,2021-08-21,ACTIVO
C00166,Mayorista García 544,Mayorista,Lima Centro,San Juan,2022-08-15,ACTIVO
C00167,Bodega Mamani 635,Bodega,Lima Este,Miraflores,2025-08-30,ACTIVO
C00168,Bodega Sánchez 654,Bodega,Piura,Comas,2020-11-06,INACTIVO
C00169,Bodega Sánchez 923,Bodega,Cusco,Castilla,2021-03-24,INACTIVO
C00170,Bodega Vargas 307,Bodega,Trujillo,Castilla,2025-03-02,ACTIVO
C00171,Minimarket García 394,Minimarket,Lima Sur,Miraflores,2023-06-03,ACTIVO
C00172,Bodega Rojas 717,Bodega,LIMA-N,Ventanilla,2021-04-24,ACTIVO
C00173,Bodega Paredes 703,Bodega,Piura,La Esperanza,2018-07-20,ACTIVO
C00174,Bodega Díaz 236,Bodega,Arequipa,Ate,2024-10-22,ACTIVO
C00175,Minimarket Ramos 774,Minimarket,Lima Centro,La Esperanza,,ACTIVO
C00176,Bodega Quispe 317,Bodega,Lima Norte,Los Olivos,2022-12-11,ACTIVO
C00177,Minimarket Rojas 335,Minimarket,Lima Centro,Villa El Salvador,2022-08-29,ACTIVO
C00178,Bodega Torres 544,Bodega,Callao,Ventanilla,2023-08-18,INACTIVO
C00179,Restaurante Sánchez 991,Restaurante/Bar,Arequipa,Castilla,2021-04-23,INACTIVO
C00180,Bodega Huamán 773,Bodega,Trujillo ,San Juan,2020-07-13,ACTIVO
C00181,Bodega Quispe 271,Bodega,Lima Sur,Surco,2024-01-07,ACTIVO
C00182,Bodega Rojas 599,Bodega,Arequipa,Ate,2022-04-10,ACTIVO
C00183,Restaurante Vargas 906,Restaurante/Bar,Arequipa,Ate,2024-04-18,ACTIVO
C00184,Restaurante Ramos 844,Restaurante/Bar,Callao,San Juan,2023-03-17,ACTIVO
C00185,Bodega Quispe 312,Bodega,Lima Sur,La Esperanza,2023-07-11,ACTIVO
C00186,Minimarket Mamani 465,Minimarket,Cusco,Los Olivos,2022-02-28,ACTIVO
C00187,Mayorista Mamani 671,Mayorista,Piura,Ventanilla,2019-02-10,ACTIVO
C00188,Bodega Torres 223,Bodega,Piura ,San Juan,2022-12-22,INACTIVO
C00189,Bodega Torres 558,Bodega,Arequipa,Ventanilla,2025-03-26,ACTIVO
C00190,Bodega Flores 972,Bodega,Lima Sur,Surco,2023-02-06,ACTIVO
C00191,Bodega Quispe 52,Bodega,lima este,San Juan,2021-09-28,ACTIVO
C00192,Restaurante Castillo 213,Restaurante/Bar,Lima Este,Ate,2024-07-29,ACTIVO
C00193,Restaurante Huamán 808,Restaurante/Bar,Lima Norte,Cercado,2024-09-07,INACTIVO
C00194,Minimarket Castillo 257,Minimarket,Lima Sur,Comas,2019-12-16,ACTIVO
C00195,Bodega Torres 809,Bodega,Arequipa,Ventanilla,2020-09-01,ACTIVO
C00196,Bodega Chávez 432,Bodega,Lima Sur,Castilla,2023-11-25,ACTIVO
C00197,Minimarket Torres 526,Minimarket,Lima Sur,Ate,2024-08-28,INACTIVO
C00198,Restaurante Quispe 745,Restaurante/Bar,Cusco,Surco,2025-05-22,INACTIVO
C00199,Restaurante Quispe 491,Restaurante/Bar,Trujillo,Castilla,2022-07-04,ACTIVO
C00200,Mayorista Sánchez 76,Mayorista,Arequipa,San Juan,2018-11-27,ACTIVO
C00201,Minimarket Vargas 649,Minimarket,Cusco,El Porvenir,2024-07-25,INACTIVO
C00202,Bodega Castillo 302,Bodega,Cusco,San Juan,2023-02-02,ACTIVO
C00203,Bodega Flores 874,Bodega,Cusco,Ate,2025-05-05,ACTIVO
C00204,Restaurante García 424,Restaurante/Bar,Piura,Los Olivos,2021-10-20,ACTIVO
C00205,Bodega Mamani 321,Bodega,Callao,Cercado,2025-06-17,ACTIVO
C00206,Bodega Sánchez 69,Bodega,Lima Sur,San Juan,2019-01-09,ACTIVO
C00207,Bodega Torres 832,Bodega,Cusco,Wanchaq,2019-06-17,ACTIVO
C00208,Minimarket Ramos 126,Minimarket,Arequipa,Villa El Salvador,2022-08-10,ACTIVO
C00209,Bodega Chávez 53,Bodega,Callao,Miraflores,2021-03-24,ACTIVO
C00210,Bodega Huamán 673,Bodega,Lima Este,Cayma,2023-05-30,ACTIVO
C00211,Bodega Torres 118,Bodega,Lima Este,Paucarpata,2021-02-15,ACTIVO
C00212,Minimarket Díaz 839,Minimarket,Cusco,La Esperanza,2024-12-21,ACTIVO
C00213,Minimarket Chávez 274,Minimarket,Lima Centro,Villa El Salvador,2018-04-29,ACTIVO
C00214,Bodega Torres 360,Bodega,Lima Centro,Miraflores,2018-01-26,ACTIVO
C00215,Minimarket Flores 146,Minimarket,Lima Norte,Wanchaq,2025-02-06,ACTIVO
C00216,Bodega Mamani 465,Bodega,Lima Centro,Los Olivos,2021-10-28,ACTIVO
C00217,Bodega Vargas 611,Bodega,Lima Norte,Villa El Salvador,2018-12-14,ACTIVO
C00218,Minimarket Ramos 84,Minimarket,Piura,Castilla,2021-01-19,ACTIVO
C00219,Minimarket Mamani 280,Minimarket,Cusco,El Porvenir,2020-06-01,ACTIVO
C00220,Mayorista Ramos 695,Mayorista,Piura,Ventanilla,2024-08-26,ACTIVO
C00221,Minimarket Mamani 614,Minimarket,Lima Norte,Ate,2018-08-13,ACTIVO
C00222,Bodega Díaz 262,Bodega,Arequipa,Castilla,2021-03-31,ACTIVO
C00223,Bodega Huamán 133,Bodega,Cusco,Wanchaq,2022-04-07,ACTIVO
C00224,Bodega Ramos 826,Bodega,Lima Sur,Los Olivos,2021-12-21,ACTIVO
C00225,Bodega Quispe 471,Bodega,Arequipa,Miraflores,2018-11-15,ACTIVO
C00226,Bodega Ramos 428,Bodega,Lima Sur,Cayma,2021-03-31,ACTIVO
C00227,Restaurante Vargas 472,Restaurante/Bar,Arequipa,Paucarpata,2025-09-25,ACTIVO
C00228,Bodega Mamani 604,Bodega,Cusco,Paucarpata,2022-06-29,ACTIVO
C00229,Restaurante Torres 227,Restaurante/Bar,Lima Centro,Surco,2021-09-26,ACTIVO
C00230,Minimarket Castillo 199,Minimarket,Arequipa,Paucarpata,2021-12-02,ACTIVO
C00231,Mayorista Huamán 242,Mayorista,Lima Centro,Cercado,2019-02-26,ACTIVO
C00232,Bodega Díaz 778,Bodega,Lima Sur,Villa El Salvador,2025-05-08,ACTIVO
C00233,Bodega Sánchez 773,Bodega,Piura,La Esperanza,2024-04-28,ACTIVO
C00234,Bodega Ramos 640,Bodega,Arequipa,San Juan,2021-08-16,ACTIVO
C00235,Bodega Ramos 311,Bodega,Lima Norte,San Juan,,ACTIVO
C00236,Minimarket Sánchez 39,Minimarket,Arequipa,San Juan,2018-08-22,ACTIVO
C00237,Bodega Paredes 93,Bodega,Cusco,Miraflores,2024-11-24,ACTIVO
C00238,Bodega Díaz 757,Bodega,Piura,Miraflores,2018-06-18,ACTIVO
C00239,Minimarket Torres 620,Minimarket,Cusco,Comas,2023-05-03,ACTIVO
C00240,Bodega Díaz 921,Bodega,Lima Sur,Cercado,2021-11-07,ACTIVO
C00241,Restaurante Chávez 449,Restaurante/Bar,Cusco,Cercado,2022-12-05,ACTIVO
C00242,Restaurante Rojas 397,Restaurante/Bar,Arequipa,Comas,2022-08-02,ACTIVO
C00243,Restaurante Ramos 343,Restaurante/Bar,Arequipa,Surco,2018-09-27,ACTIVO
C00244,Bodega Rojas 742,Bodega,Lima Centro,Miraflores,2025-05-13,ACTIVO
C00245,Bodega Torres 318,Bodega,Trujillo,Los Olivos,2025-05-11,INACTIVO
C00246,Restaurante Rojas 573,Restaurante/Bar,Arequipa,Surco,2022-03-23,ACTIVO
C00247,Bodega Chávez 702,Bodega,Lima Sur,El Porvenir,2023-11-27,ACTIVO
C00248,Restaurante Quispe 372,Restaurante/Bar,Lima Centro ,Villa El Salvador,2021-06-19,ACTIVO
C00249,Restaurante García 141,Restaurante/Bar,Lima Sur,Villa El Salvador,2019-09-27,ACTIVO
C00250,Restaurante Díaz 553,Restaurante/Bar,Lima Norte,La Esperanza,2023-11-27,ACTIVO
C00251,Bodega Huamán 612,Bodega,Lima Centro,Paucarpata,2022-03-24,ACTIVO
C00252,Bodega Vargas 829,Bodega,Piura,Cayma,2019-11-10,ACTIVO
C00253,Restaurante García 993,Restaurante/Bar,Callao,Villa El Salvador,2022-12-25,ACTIVO
C00254,Bodega Castillo 245,Bodega,Piura,Ate,,ACTIVO
C00255,Bodega Vargas 452,Bodega,Callao,Wanchaq,2023-03-07,ACTIVO
C00256,Bodega Huamán 837,Bodega,Lima Centro,Comas,2020-03-28,ACTIVO
C00257,Restaurante Paredes 381,Restaurante/Bar,Lima Sur,Wanchaq,2024-03-21,INACTIVO
C00258,Minimarket Rojas 86,Minimarket,Callao,Wanchaq,2019-10-19,ACTIVO
C00259,Bodega Mamani 94,Bodega,Piura,La Esperanza,2020-06-28,ACTIVO
C00260,Bodega Quispe 406,Bodega,Arequipa,San Juan,2023-08-19,ACTIVO
C00261,Bodega Quispe 327,Bodega,Arequipa,Cercado,2019-02-10,ACTIVO
C00262,Restaurante Paredes 484,Restaurante/Bar,Lima Centro,Castilla,2025-10-22,ACTIVO
C00263,Bodega Quispe 928,Bodega,Lima Norte,Paucarpata,2018-11-21,ACTIVO
C00264,Bodega Chávez 624,Bodega,Trujillo,Ventanilla,2023-12-02,ACTIVO
C00265,Restaurante Flores 49,Restaurante/Bar,Trujillo,Miraflores,2020-09-03,ACTIVO
C00266,Minimarket Flores 857,Minimarket,Cusco,Wanchaq,2023-08-10,ACTIVO
C00267,Minimarket Chávez 148,Minimarket,Trujillo,Cayma,2021-04-08,ACTIVO
C00268,Minimarket Mamani 192,Minimarket,Lima Sur,Cayma,2025-06-14,ACTIVO
C00269,Bodega Castillo 558,Bodega,Cusco,El Porvenir,2023-09-10,INACTIVO
C00270,Bodega Quispe 651,Bodega,Arequipa,Comas,2022-05-04,ACTIVO
C00271,Mayorista Flores 354,Mayorista,Lima Sur,Los Olivos,2020-09-14,ACTIVO
C00272,Mayorista Huamán 46,Mayorista,Cusco,Surco,2021-12-14,ACTIVO
C00273,Restaurante Díaz 702,Restaurante/Bar,Piura,Villa El Salvador,2023-03-19,ACTIVO
